"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BUILT_BY";"DESC";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_MOUSER";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SOURCELIBRARY";"SPICEPREFIX";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";
"2";"";"FERRITE";"L0603";"BLM18AG601SN1D, R4";"";"";"";"";"";"";"600R / 100MHz";"";"";"";"";"";"Murata Electronics";"";"";"";"";" BLM18AG601SN1D";"81-BLM11A601S";"0603";"";"";"";"";"";"";"Ferrite";"";"";
"1";"";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"USBPOW";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";
"1";"";"SOLDERJUMPER_2WAY0603";"SOLDERJUMPER_2WAY_OPEN_0603";"SJ1";"2-Way Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USBMINIB";"USB-MINIB";"CN1";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"0.1uF";"C-USC0603";"C0603";"C3, C5, C18, C20, C23, C24";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";
"6";"100k";"R-US_R0603";"R0603";"R5, R14, R22, R57, R58, R66";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";
"3";"10uF";"C-USC0603";"C0603";"C2, C21, C22";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";
"1";"142-0701-211";"142-0701-211";"1420701211";"J10";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"142-0701-211";"https://www.arrow.com/en/products/142-0701-211/cinch-connectivity-solutions";"";"";"";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"9.652mm";"Cinch Connectivity Solutions";"142-0701-211";"";"";"530-1420701211";"https://www.mouser.co.uk/ProductDetail/Johnson-Cinch-Connectivity-Solutions/142-0701-211?qs=VqHsQWpF6ulG8WyKOf%2FLqg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1727052";"1727052";"SHDR6W105P0X381_1X6_2285X730X8";"J3";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"1727052";"https://www.arrow.com/en/products/1727052/phoenix-contact";"";"";"";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"8.65mm";"Phoenix Contact";"1727052";"";"";"651-1727052";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1727052?qs=WWq3Ki8dym7VpMyTMk0i8A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
