"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BUILT_BY";"DESC";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_MOUSER";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SOURCELIBRARY";"SPICEPREFIX";"TEXAS_INSTRUMENTS-PURCHASE-URL";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";
"1";"";"DIODE_DUAL";"SOT-23";"BAT54C,215";"";"";"";"";"";"";"Dual Schottky, common cat";"";"";"";"";"";"";"NXP Semiconductors";"";"";"";"";"BAT54C,215";"771-BAT54C-T/R";"SOT-23";"";"";"";"";"";"";"";"Diode";"";"";
"2";"";"FERRITE";"L0603";"BLM18AG601SN1D, R4";"";"";"";"";"";"";"600R / 100MHz";"";"";"";"";"";"";"Murata Electronics";"";"";"";"";" BLM18AG601SN1D";"81-BLM11A601S";"0603";"";"";"";"";"";"";"";"Ferrite";"";"";
"1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED6";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X3";"1X03";"JP4, JP5, JP6, JP7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"USBPOW";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";
"1";"";"SOLDERJUMPER_2WAY0603";"SOLDERJUMPER_2WAY_OPEN_0603";"SJ1";"2-Way Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USBMINIB";"USB-MINIB";"CN1";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"0.1uF";"C-USC0603";"C0603";"C3, C5, C10, C18, C19, C20, C23, C24";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"5";"100";"R-US_R0603";"R0603";"R29, R33, R38, R43, R48";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"1000";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"13";"100k";"R-US_R0603";"R0603";"R5, R9, R12, R14, R22, R27, R34, R39, R44, R49, R57, R58, R66";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"3";"100nF";"C-USC0603";"C0603";"C1, C9, C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"1";"10k";"R-US_R0603";"R0603";"R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"8";"10uF";"C-USC0603";"C0603";"C2, C12, C15, C21, C22, C25, C26, C29";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"1";"142-0701-211";"142-0701-211";"1420701211";"J10";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"142-0701-211";"https://www.arrow.com/en/products/142-0701-211/cinch-connectivity-solutions";"";"";"";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"";"9.652mm";"Cinch Connectivity Solutions";"142-0701-211";"";"";"530-1420701211";"https://www.mouser.co.uk/ProductDetail/Johnson-Cinch-Connectivity-Solutions/142-0701-211?qs=VqHsQWpF6ulG8WyKOf%2FLqg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1727052";"1727052";"SHDR6W105P0X381_1X6_2285X730X8";"J1, J2, J3, J4, J9";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"1727052";"https://www.arrow.com/en/products/1727052/phoenix-contact";"";"";"";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"";"8.65mm";"Phoenix Contact";"1727052";"";"";"651-1727052";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1727052?qs=WWq3Ki8dym7VpMyTMk0i8A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
