timeSinceStartup,missionElapsedTime,guidanceFrequency,flightMode,pyroState,chuteState,dataLoggingState,telemSendState,telemConnState,battV,servoV,rollMotorV,boardTemp,gyroX,gyroY,gyroZ,alt,oriX,oriY,oriZ,tvcX,tvcY,pyro1Cont,pyro2Cont,pyro3Cont,pyro4Cont,pyro5Cont,pyro1Fire,pyro2Fire,pyro3Fire,pyro4Fire,pyro5Fire
4167,0,nan,1,1,1,0,3,1,11.75,8.35,5.99,0.00,0.00,0.00,0.00,26.34,0.00,0.00,0.00,0.00,0.00,0,0,1,1,1,0,0,0,0,0
48548,14,2930428.50,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.42,-0.00,0.01,-0.00,-293.56,170.52,0,0,1,1,1,0,0,0,0,0
48553,19,52.63,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.42,0.00,0.01,-0.00,1.03,-0.07,0,0,1,1,1,0,0,0,0,0
48570,36,27.78,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.00,0.01,-0.00,-0.14,-1.27,0,0,1,1,1,0,0,0,0,0
48575,41,24.39,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.01,-0.00,0.27,-0.03,0,0,1,1,1,0,0,0,0,0
48593,59,16.95,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.01,-0.00,0.19,-0.36,0,0,1,1,1,0,0,0,0,0
48668,134,7.46,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.00,-0.00,0.10,-0.01,0,0,1,1,1,0,0,0,0,0
48673,139,7.19,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.00,0.00,-0.94,-0.82,0,0,1,1,1,0,0,0,0,0
48691,157,6.37,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.00,0.00,-0.69,1.33,0,0,1,1,1,0,0,0,0,0
48696,162,6.17,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.00,0.00,-0.26,-0.34,0,0,1,1,1,0,0,0,0,0
48713,179,5.59,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.42,0.01,0.00,0.00,-0.50,0.26,0,0,1,1,1,0,0,0,0,0
48718,184,5.43,3,0,1,0,3,0,11.73,8.35,5.99,0.00,0.00,0.00,0.00,1317.42,0.01,0.01,0.00,-0.69,-1.35,0,0,1,1,1,0,0,0,0,0
48751,217,inf,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.42,0.01,0.00,0.00,1.22,1.38,0,0,1,1,1,0,0,1,0,0
48769,235,55.56,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.01,-0.00,1.00,-0.53,0,0,1,1,1,0,0,1,0,0
48774,240,43.48,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.00,-0.00,-0.74,1.23,0,0,1,1,1,0,0,1,0,0
48791,257,25.00,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.00,-0.00,0.34,-0.60,0,0,1,1,1,0,0,1,0,0
48797,263,21.74,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.01,-0.01,1.45,-1.85,0,0,1,1,1,0,0,1,0,0
48814,280,15.87,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.01,-0.01,2.22,1.26,0,0,1,1,1,0,0,1,0,0
48819,285,14.71,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.43,0.01,0.01,-0.01,-0.08,-3.22,0,0,1,1,1,0,0,1,0,0
48837,303,11.63,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.42,0.01,0.01,-0.01,0.23,-0.14,0,0,1,1,1,0,0,1,0,0
48843,309,10.87,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.42,0.01,0.01,-0.01,0.80,0.05,0,0,1,1,1,0,0,1,0,0
48860,326,9.17,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.01,-0.01,1.32,-1.60,0,0,1,1,1,0,0,1,0,0
48865,331,8.77,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.41,0.02,0.01,-0.01,2.17,-0.98,0,0,1,1,1,0,0,1,0,0
48883,349,7.58,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.41,0.02,0.01,-0.01,0.48,-0.96,0,0,1,1,1,0,0,1,0,0
48888,354,7.30,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.41,0.01,0.02,-0.01,0.54,-2.60,0,0,1,1,1,0,0,1,0,0
48905,371,6.49,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.40,0.01,0.02,-0.01,0.54,-0.84,0,0,1,1,1,0,0,1,0,0
48911,377,6.25,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.40,0.01,0.02,-0.01,1.02,-1.77,0,0,1,1,1,0,0,1,0,0
48928,394,5.65,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.39,0.01,0.02,-0.01,1.59,-1.28,0,0,1,1,1,0,0,1,0,0
48934,400,5.46,3,0,1,0,3,0,11.71,8.31,5.99,0.00,0.00,0.00,0.00,1317.39,0.01,0.02,-0.02,1.75,-1.64,0,0,1,1,1,0,0,1,0,0
